Time,Bookings
2024-01-31,-0.1336512039298077
2024-02-29,2.1264415690424796
2024-03-31,4.240950283999309
2024-04-30,5.398198313578112
2024-05-31,3.0982338376294996
2024-06-30,3.339097748661575
2024-07-31,2.197038671902792
2024-08-31,-1.000494490582338
2024-09-30,-2.83912421658104
2024-10-31,-3.5755261975646397
2024-11-30,-2.662646599965187
2024-12-31,-0.9314999447927674
2025-01-31,2.9139879668702964
2025-02-28,4.215313785225177
2025-03-31,8.93321533077067
2025-04-30,8.072014871467797
2025-05-31,7.819250427704435
2025-06-30,6.2459537107843195
2025-07-31,5.208440809106096
2025-08-31,1.1190801236933332
2025-09-30,0.9693532809426089
2025-10-31,0.4609767874535715
2025-11-30,1.8651224388165022
2025-12-31,3.305074805087682
2026-01-31,5.743290218761297
2026-02-28,8.187624082022134
2026-03-31,11.540805860467314
2026-04-30,12.384700378077802
2026-05-31,13.848590619183614
2026-06-30,9.774028423276897
2026-07-31,6.3067245143729265
2026-08-31,4.973888051959215
2026-09-30,2.8354971354048133
2026-10-31,3.0730234671660988
2026-11-30,5.025861642645891
2026-12-31,5.970236280558417
2027-01-31,9.413657594230685
2027-02-28,11.961019599901972
2027-03-31,14.995823583094358
2027-04-30,13.340211428127462
2027-05-31,14.37654213813117
2027-06-30,13.219411246855552
2027-07-31,8.166829156744361
2027-08-31,8.73437234940645
2027-09-30,6.822517229847067
2027-10-31,6.828593756518715
2027-11-30,9.488657933698661
2027-12-31,10.616707896349766
2028-01-31,13.676193722568925
2028-02-29,14.23055602779406
2028-03-31,16.501218627417135
2028-04-30,18.89434603709799
2028-05-31,15.303255368891662
2028-06-30,14.901496140191055
2028-07-31,13.569195991042248
2028-08-31,10.038517419331654
2028-09-30,9.646803110912593
2028-10-31,9.330777990969006
2028-11-30,9.585695808132956
2028-12-31,12.25715034243539
2029-01-31,15.410663074114856
2029-02-28,20.055461077569046
2029-03-31,20.509902701861996
2029-04-30,21.386271904059495
2029-05-31,20.216038157895426
2029-06-30,17.983226859346118
2029-07-31,16.341450306343862
2029-08-31,13.051455809044121
2029-09-30,11.595133124382292
2029-10-31,13.07720050782728
2029-11-30,12.379295816530744
2029-12-31,17.643877266511804
2030-01-31,18.36319827827609
2030-02-28,21.946471919839215
2030-03-31,23.934238185864608
2030-04-30,25.811426186546523
2030-05-31,23.892900656339652
2030-06-30,21.11616265161811
2030-07-31,19.630802002138285
2030-08-31,19.404696249527042
2030-09-30,15.690345277641166
2030-10-31,16.273942510537534
